"KEY_POLICY","EXT_REFR","VALID_FROM","VALID_TO","SALES_DATE","CANCEL_DATE","PAYMENT_STATUS","COMMISSION_RANK","COMMISSION","RAW_CLAWBACK","CLAWBACK"
"260844251","PO0054102790","2024-01-03 00:00:00.000","2025-01-01 00:00:00.000","2024-01-03",,"Paid","41",679.2,0,0
"260844409","PO0054104330","2024-01-03 00:00:00.000","2025-01-03 00:00:00.000","2024-01-03","2024-02-27","Paid","42",425.04,354.2,354.2
"260844104","PO0054100890","2024-01-18 00:00:00.000","2025-01-01 00:00:00.000","2024-01-03",,"Paid","43",457.68,0,0
"260843950","PO0054095800","2024-01-04 00:00:00.000","2025-01-01 00:00:00.000","2024-01-03",,"Paid","44",1509,0,0
"260843902","PO0054108000","2024-01-03 00:00:00.000","2025-01-03 00:00:00.000","2024-01-03","2024-07-01","Paid","45",2298.12,957.55,957.55
"260844395","PO0054107300","2024-01-03 00:00:00.000","2025-01-01 00:00:00.000","2024-01-03",,"Paid","46",156.84,0,0
"260844244","PO0054104080","2024-01-03 00:00:00.000","2025-01-01 00:00:00.000","2024-01-03",,"Paid","47",151.2,0,0
"260843209","PO0042618670","2024-01-03 13:24:50.000","2024-05-01 00:00:00.000","2024-01-03",,"Paid","48",264.72,0,0
"260844075","PO0054100290","2024-02-01 00:00:00.000","2025-02-01 00:00:00.000","2024-01-03",,"Paid","49",928.68,0,0
"260844063","PO0054107360","2024-01-12 00:00:00.000","2025-01-01 00:00:00.000","2024-01-03","2024-05-06","Paid","50",657.12,383.32,383.32
"260844058","PO0054092910","2024-01-03 00:00:00.000","2025-01-03 00:00:00.000","2024-01-03",,"Paid","51",1011.24,0,0
"260844211","PO0054098330","2024-01-04 00:00:00.000","2025-01-04 00:00:00.000","2024-01-03",,"Paid","52",908.88,0,0
"260844250","PO0054095220","2024-02-01 00:00:00.000","2025-02-01 00:00:00.000","2024-01-03",,"Paid","53",549.6,0,0
"260844325","PO0054096640","2024-01-03 00:00:00.000","2025-01-01 00:00:00.000","2024-01-03","2024-02-26","Paid","54",468.36,390.3,390.3
"260844708","PO0054104730","2024-01-03 00:00:00.000","2025-01-01 00:00:00.000","2024-01-03",,"Paid","55",768,0,0
"260942890","PO0054126040","2024-01-19 00:00:00.000","2025-01-19 00:00:00.000","2024-01-04",,"Paid","56",823.68,0,0
"260943607","PO0054123130","2024-01-04 00:00:00.000","2025-01-01 00:00:00.000","2024-01-04",,"Paid","57",1600.32,0,0
"260943384","PO0054114970","2024-02-01 00:00:00.000","2025-02-01 00:00:00.000","2024-01-04",,"Paid","58",1269.6,0,0
"260943401","PO0054119420","2024-01-04 00:00:00.000","2025-01-04 00:00:00.000","2024-01-04",,"Paid","59",448.92,0,0
"260943253","PO0054114640","2024-01-17 00:00:00.000","2025-01-01 00:00:00.000","2024-01-04",,"Paid","60",620.28,0,0
"260943221","PO0054127410","2024-01-04 00:00:00.000","2025-01-01 00:00:00.000","2024-01-04","2024-04-08","Paid","61",464.88,309.92,309.92
"260995965","PO0054121130","2024-01-04 00:00:00.000","2025-01-04 00:00:00.000","2024-01-04",,"Paid","62",138,0,0
"260943655","PO0054117570","2024-01-04 00:00:00.000","2025-01-04 00:00:00.000","2024-01-04",,"Paid","63",485.4,0,0
"260943533","PO0054113580","2024-01-08 00:00:00.000","2025-01-01 00:00:00.000","2024-01-04",,"Paid","64",545.28,0,0
"260943032","PO0054117760","2024-02-01 00:00:00.000","2025-02-01 00:00:00.000","2024-01-04","2024-04-23","Paid","65",148.8,111.6,111.6
"260943842","PO0054119700","2024-01-04 00:00:00.000","2025-01-01 00:00:00.000","2024-01-04","2024-09-24","Paid","66",1197.48,299.37,299.37
"260943886","PO0054117390","2024-02-07 00:00:00.000","2025-02-01 00:00:00.000","2024-01-04",,"Paid","67",779.52,0,0
"260943712","PO0054125440","2024-02-09 00:00:00.000","2025-02-09 00:00:00.000","2024-01-04",,"Paid","68",624.36,0,0
"260943183","PO0054115350","2024-05-01 00:00:00.000","2025-05-01 00:00:00.000","2024-01-04",,"Paid","69",997.2,0,0
"260943099","PO0054122190","2024-01-04 00:00:00.000","2025-01-01 00:00:00.000","2024-01-04","2024-05-07","Paid","70",296.76,173.11,173.11
"260943715","PO0054120440","2024-09-10 00:00:00.000","2025-09-01 00:00:00.000","2024-01-04",,"Paid","71",512.04,0,0
"260943840","PO0054111320","2024-01-08 00:00:00.000","2025-01-08 00:00:00.000","2024-01-04",,"Paid","72",335.28,0,0
"260943972","PO0054117520","2024-01-04 00:00:00.000","2025-01-01 00:00:00.000","2024-01-04",,"Paid","73",176.16,0,0
"260943305","PO0054125910","2024-01-04 00:00:00.000","2025-01-04 00:00:00.000","2024-01-04",,"Paid","74",52.92,0,0
"260943740","PO0054119200","2024-01-04 00:00:00.000","2025-01-01 00:00:00.000","2024-01-04",,"Paid","75",1851.12,0,0
"260947988","PO0054137550","2024-01-31 00:00:00.000","2025-01-01 00:00:00.000","2024-01-05",,"Paid","76",559.68,0,0
"261373467","PO0054132290","2024-01-15 00:00:00.000","2025-01-01 00:00:00.000","2024-01-05",,"Paid","77",685.8,0,0
"260948039","PO0054138220","2024-01-05 00:00:00.000","2025-01-01 00:00:00.000","2024-01-05",,"Paid","78",284.88,0,0
"260947914","PO0054135900","2024-01-23 00:00:00.000","2025-01-01 00:00:00.000","2024-01-05",,"Paid","79",719.64,0,0
"260948271","PO0054136160","2024-01-05 00:00:00.000","2025-01-01 00:00:00.000","2024-01-05",,"Paid","80",497.04,0,0
"260948196","PO0054138050","2024-01-05 00:00:00.000","2025-01-01 00:00:00.000","2024-01-05",,"Paid","81",252.72,0,0
"260948285","PO0054130850","2024-01-31 00:00:00.000","2025-01-31 00:00:00.000","2024-01-05",,"Paid","82",89.64,0,0
"260948238","PO0054141010","2024-01-05 00:00:00.000","2025-01-01 00:00:00.000","2024-01-05",,"Paid","83",195.72,0,0
"260948180","PO0054137730","2024-01-05 00:00:00.000","2024-09-23 00:00:00.000","2024-01-05","2024-09-22","Paid","84",162,-20.25,0
"260947985","PO0054138440","2024-01-05 00:00:00.000","2025-01-05 00:00:00.000","2024-01-05",,"Paid","85",667.32,0,0
"260947946","PO0054134870","2024-01-05 00:00:00.000","2025-01-01 00:00:00.000","2024-01-05",,"Paid","86",113.28,0,0
"260948223","PO0054133080","2024-01-30 00:00:00.000","2025-01-01 00:00:00.000","2024-01-05",,"Paid","87",609.72,0,0
"260948159","PO0054136800","2024-01-05 00:00:00.000","2025-01-01 00:00:00.000","2024-01-05",,"Paid","88",291.6,0,0
"260948278","PO0054134450","2024-01-05 00:00:00.000","2025-01-01 00:00:00.000","2024-01-05",,"Paid","89",219.96,0,0
"260990189","PO0054143630","2024-01-07 00:00:00.000","2025-01-07 00:00:00.000","2024-01-07","2024-01-25","Paid","90",583.8,535.15,535.15
"260989900","PO0054143850","2024-01-07 00:00:00.000","2025-01-07 00:00:00.000","2024-01-07",,"Paid","91",649.2,0,0
