"Key_SS_Org","Fld_Rep_Cd","Org_Lvl_cd","Org_Lvl_Nm"
"4687657","EMERYH-7","OB","Outbound"
"2649599","LEPREP-7","IB","Inbound"
"4098407","63919-0","IB","Inbound"
"2327498","CULUJL-3","IB","Inbound"
"4558901","AILOJB-7","OB","Outbound"
"4289950","00329VD-1","Oth","Other"
"3625172","69329VD-6","IB","Inbound"
"4417205","AMAROF-4","OB","Outbound"
"3064468","NORHOJ-1","IB","Inbound"
"873903","VDETSO-0","OB","Outbound"
"2183854","TANOHA-5","IB","Inbound"
"3789690","NGALAW-0","IB","Inbound"
"4575001","91429VD-8","IB","Inbound"
"517246","SLELIN-8","IB","Inbound"
"4254900","RDALOH-4","OB","Outbound"
"4818757","VDERAS-2","OB","Outbound"
"3861983","BIOWL-2","IB","Inbound"
"4417184","KSOLOH-2","OB","Outbound"
"3789882","RACRON-8","IB","Inbound"
"4558886","CIMTUM-7","OB","Outbound"
"4420427","ASINOS-5","OB","Outbound"
"510212","ILENAJ-8","IB","Inbound"
"3790335","BISHAK-9","OB","Outbound"
"4942963","CULXOF-9","IB","Inbound"
"3790350","SEJITS-2","OB","Outbound"
"4574980","BAMUJL-0","IB","Inbound"
"2367366","AINHAD-6","IB","Inbound"
