"Key_SS_Org","Fld_Rep_Cd","Org_Lvl_cd","Org_Lvl_Nm"
"3790715","VLAVAC-5","OB","Outbound"
"4942960","AMAROF-2","OB","Outbound"
"3789962","BLAREW-4","OB","Outbound"
"4417190","CIMTUM-0","OB","Outbound"
"3790307","18229VD-2","IB","Inbound"
"614522","BAFLAK-8","IB","Inbound"
"3790489","AADDNA-3","IB","Inbound"
"3790103","ILENAB-2","OB","Outbound"
"4687661","HENIDA-2","IB","Inbound"
"3790331","00329VD-3","IB","Inbound"
"4558900","LLOIKS-1","OB","Outbound"
"505390","KIMREB-9","IB","Inbound"
"3790202","NOMEHS-3","IB","Inbound"
"4818755","30329VD-9","IB","Inbound"
"4420434","KINLEB-7","OB","Outbound"
"3790328","LEMRAL-4","OB","Outbound"
"3789764","NLCIB-0","IB","Inbound"
"4215681","NADEGE-3","OB","Outbound"
"3758966","NILARA-2","PP","Branch Office"
"3041171","06329VD-1","IB","Inbound"
"3790326","CARALF-2","OB","Outbound"
"3790366","IREIAV-6","OB","Outbound"
"4875691","ANDSEB-3","OB","Outbound"
"501755","RRCIB-8","CV","Partner"
"3790057","ANAOJS-5","IB","Inbound"
"3868161","AKOKSX-8","OB","Outbound"
"4190437","ARAKIN-4","OB","Outbound"
"517430","GAMRUB-0","Oth","Other"
"517638","XMKIB-2","IB","Inbound"
"3789630","POZSAH-7","IB","Inbound"
"3790427","01329VD-1","IB","Inbound"
"3041164","FAEIB-3","IB","Inbound"
"4445923","55329VD-4","IB","Inbound"
"517620","EMEGAH-6","IB","Inbound"
"3790004","LEFDNA-8","OB","Outbound"
"4254905","DEMARI-8","OB","Outbound"
"3908251","BINGY-2","IB","Inbound"
"3790731","JAKYRF-1","OB","Outbound"
"500355","MYMTUR-6","IB","Inbound"
"3790278","RACTUH-5","IB","Inbound"
"3929990","AILREH-1","IB","Inbound"
"4575000","HOJROS-3","IB","Inbound"
"4247589","CEVIB-6","IB","Inbound"
"2246309","CSOREP-4","IB","Inbound"
"493071","BORBAM-4","OB","Outbound"
"4885797","BAHNAJ-8","OB","Outbound"
"4442719","RACBER-9","OB","Outbound"
"1978786","LAMARK-3","PP","Branch Office"
"3789824","ANAREP-5","IB","Inbound"
"4734933","LEFDAG-2","IB","Inbound"
"4098421","67329VD-6","IB","Inbound"
"4165069","21429VD-5","IB","Inbound"
"4986827","TSOBOR-3","IB","Inbound"
"3790158","81229VD-6","IB","Inbound"
"984257","OHTEAW-2","IB","Inbound"
"4280281","LIVNOJ-5","IB","Inbound"
"4280287","BVSRON-6","IB","Inbound"
"4231623","7OMIB-4","IB","Inbound"
"3703472","GUHOJB-4","OB","Outbound"
"4644553","YOMIB-7","Oth","Other"
"853287","TACGNE-7","IB","Inbound"
"971155","IIEIB-5","CV","Partner"
"3815147","SACLIL-3","OB","Outbound"
"490487","AEDRON-8","NB","WildWest"
"495655","ZUSFAG-2","IB","Inbound"
"4555624","LIFLEM-9","OB","Outbound"
"4949773","17229VD-9","IB","Inbound"
"3789880","EMELOH-0","OB","Outbound"
"504496","OSEIB-9","IB","Inbound"
"4664341","ILENAJ-5","Oth","Other"
"4289953","GAMRON-1","IB","Inbound"
"3951691","ILOJRY-0","IB","Inbound"
"2849116","FUMIB-4","IB","Inbound"
"3790469","VNMIB-7","IB","Inbound"
"2649600","ILAGOH-7","IB","Inbound"
"3790682","BERSEV-5","IB","Inbound"
"3707041","REPATS-8","IB","Inbound"
"4578322","CPRIB-4","IB","Inbound"
"3951698","GNAAWS-9","IB","Inbound"
"3902037","IMEDEH-4","IB","Inbound"
"886388","02229VD-5","IB","Inbound"
"3703490","TANRON-1","OB","Outbound"
"4574991","JAMCAB-2","IB","Inbound"
"4942959","MYMSLO-7","OB","Outbound"
"3790021","14129-2","IB","Inbound"
"516158","YOMIB-8","IB","Inbound"
"1147576","CGLIB-2","IB","Inbound"
"3140087","LEFREB-9","IB","Inbound"
"4187236","ADANOJ-1","OB","Outbound"
"4818762","IREVRA-8","OB","Outbound"
"3790294","AASAHK-9","OB","Outbound"
"1091574","NASRTS-7","OB","Outbound"
"2627884","HKLIB-4","IB","Inbound"
"2849134","XMMIB-0","IB","Inbound"
"4165073","IRELKE-8","IB","Inbound"
"3790402","KIVTES-5","IB","Inbound"
"3855377","GRSIB-9","IB","Inbound"
"4280260","BKTIB-3","Oth","Other"
"3790270","24229VD-4","IB","Inbound"
